,Activity Name (TO CHANGE TO ACTIVITY CODE),Grounds Requirement,Freq Numeral,Freq Literal,Note on Trigger Condition,Activity Type,Activity Procedure Recommended Action,Trade,Wrench Time (H),Asset Offline?,Resources,Applies to Class,Class ID,Applies to Product-Line,Parent Activity,Specialization from Parent,Children Activity,Comments,Parent ID,Act ID,Failure Mode,Activity Code
44,"Generator: Engine, Inspect Linkages",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Inspect,"NOTE: applicable to engines equipped with a mechanical governor
1) Visually inspect for excessive dust pollution in the linkage between the governor, throttle, and injection pump.
2) Visually inspect for any tackiness of grease at all pins and joints.
3) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.   ",Ind Mill,0.15,,,,,,,,,,,46ad697ee05a438bac7fd7f06b6037a2,,
45,Generator: Engine4 Check oil level,https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Check,"SAFETY WARNING: the oil may be hot after a load test, take all PPE precautions to avoid skin burn.
1) If applicable, check the governor oil level using a dipstick. 
[ If the generator is running turn off the generator, and let it sit idle for 4 minutes to let the oil settle.]
2. Top up the oil if necessary.
NOTE: use the machine oil type specified by the governor OEM",Ind Mill,0.15,,,,,,,,,,,8d80f0496cc646ab905ee5eb87900d01,,
46,"Generator: Engine, Inspect Fuel Pump Oil",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Inspect,"1) Inspect the sump for the signs of leakage.
2) Inspect the sump for dust, debris, or damages.
3) Inspect the sump for signs of corrosion.
4) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.    

",Ind Mill,0.15,,,,,,,,,,,e9cd9df0f46347ad969c3497a7a14343,,
47,"Generator: Engine, Inspect Fan",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Inspect,"1. Inspect the fan belt for oil contamination, cracks, wear, and heat degradation.
2. Inspect the fan belt for signs of looseness and slacking.
3) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.    
",Ind Mill,0.15,,,,,,,,,,,c5d7496b203f40a79c252190cce083f5,,
48,"Generator: Control Panel, Inspect Control Panel",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Inspect,"1) Visually inspect the control panel cover for proper closure without gaps.
2) Check no tightening hardware is missing. 
3) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair. ",EICT,0.15,,,,,,,,,,,367261a65cb143969af3927f728c5b9d,,
49,"Generator: Control Panel, Test Annunciator Panel",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Test,"1) If a test button is present, press the test-lights button on the control or annunciator panel to ensure all panel lights are functional.
2) If the test fails, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair. ",EICT,0.15,,,,,,,,,,,78bcfcf0093d48e6a36f0ed29964df84,,
50,"Generator: Control Panel, Inspect Control Panel Setting",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Inspect,"1) Use the manufacturer manual to access the control panel settings.
2) Verify the control panel setting that unit is set on ""Auto"" mode. 
3) If the unit is NOT on ""Auto"" mode, use the user manual to change the settings to ""Auto"" mode.",EICT,0.15,,,,,,,,,,,cbf0a6f3d3d3464294cbc79cefa9ca46,,
51,"Generator: Control Panel, Test Trouble Signals",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Test,"1) Ensure you have operational approval before performing this task. 
2) Activate alarm by pressing test alarm button, audible sound should be heard 
3) Deactivate by pressing the test alarm button, audible sound should stop 
4) If the alarm failed to activate, ""create a work request with “Repair from Predictive"" work type to repair the generating unit audible trouble signals alarm.",Ind Mill,0.15,,,,,,,,,,,283eb43adc9e4905a3ad75e8b3dd4918,,
52,"Generator: Control Panel, Inspect Louvre",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Inspect,"1) Inspect for debris and obstructions that would hinder the free movement of the louvres.
2) Inspect the louvre actuator linkages are lubricated and free from excessive pollution.
3) If an issue is discovered, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair. 
NOTE: use the recommended lubrication type specified by the OEM; Never use penetrating oil such or WD-40 as a lubricant.

",Ind Mill,0.15,,,,,,,,,,,227092741c0b43ce9475a7ef9b4457e0,,
53,"Generator: Control Panel, Test Emergency Light",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Test,"1) Verify that the emergency lighting found in the generator enclosure or room would turn on by actuating its test switch.
2) If the test fails, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair. 
",Ind Mill,0.15,,,,,,,,,,,7847786bb68b4839932c04b12e06065a,,
54,"Generator: Control Panel, Verify Room Temperature",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Check,"1) Upon first opening the panel, verify the air temperature inside is higher than 10 degC with a thermometer gun.
2) If the temperature is lower, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair. 
",Ind Mill,0.15,,,,,,,,,,,a9a71dee52a2436ca4688bb7f7bcddf7,,
55,"Generator: Control Panel, Inspect for Cleanliness",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Inspect,"1) Visually inspect the ATS room indoor/outdoor for signs of improper material storage, combustible materials, dust, and dirt accumulation.
2) Inspect the accessibility to all components of the emergency system.
3) Take care to limit the dust, clean and remove materials as required.
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.15,,,,,,,,,,,366e9ef3e2394aec8f96b39e9a873310,,
56,"Generator: Control Panel, Fix the Defects",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Service,"If corrective action/repair is required related to the proper operation of the generator and its parts, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",,,,,,,,,,,,,8d76e40430fa4e6aa1ff3a0b00573500,,
57,"Generator: Control Panel, PM Data Recording",https://www.notion.so/CSA-C282-19-Section-d4be86fcee474db8a2af34af3eb522e1,1.0,Week,,Record,"Record all inspections, tests, and corrective actions in the log. If log is missing, contact the supervisor to find out the missing information & complete the log. ",Ind Mill,0.25,,,,,,,,,,,eb4ecccc747949daaa7268676d554c39,,
58,Generator: Simulate a Failure,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,1.0,Month,,Test,"NOTE: applicable only if the process load is used OR if the load-bank is connected to the emergency side of the ATS switch.
1) Ensure that the generator control on the generator panel is set to AUTO.
2) Simulate a power failure using the source failure test control on the ATS. - Alternatively, if the source failure test control is not available on the ATS, simulate an actual power failure by opening the utility breaker that is upstream of the Emergency Bus/MCC
3) Ensure that the generator starts without issue and the correct ATS switching sequence occurs.
4) Perform any planned plant load test by starting major plant loads
5) Perform any planned IR inspection on the Emergency Side of the ATS.
6) Restore the utility power and ensure that the correct ATS switching sequence, generator cool-down, and shutdown occurs after the expected delays.
7) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",EICT,,,,,,,,,,Uncertain. Will be left as is  for now. ,,679d030e18d24e58b603dc6895b2c770,,
59,Generator: Load Test 30%,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,1.0,Month,,Test,"NOTE: if test load is used, verify that the generator is protected by an inline over-current breaker with the ground trip before proceeding.
1) Start the generator and wait for full speed.
2) Set the load bank to add load in increments of 10-15% of full load every 15 seconds until about 30% is reached. If plant load is used instead, switch on the large motor loads on a 15-second interval until about 30% is reached.
3) One member of the crew is to observe the following parameters in real-time while the load steps are added:
- generator voltage never dips below 0.8 p.u. at any moment; recovers to above 0.9 p.u. while any large motor load accelerates and reaches 1 p.u. when the motor is running (within 5 seconds).
- generator frequency never deviates more than +/- 1 Hz.
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.
",EICT,,No,,,,,,,,,,a11c184b55c04fc1b82b5e227315946d,,
60,Generator: Operate Transfer Switch,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,1.0,Month,,Test,"1) Ensure you have operational approval before performing this task. 
2) Follow Lock-out and Tag-out SWP-003 before starting this task. 
3) Simulate a power failure and ensure that the generator starts and supplies electrical power. 
4) Run the generator, with a minimum of 30% of the generator's full load, for 1 hour.
5) If the transfer switches fail to operate as intended, corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.
",EICT,,,,,,,,,,,,b073c9adc5de444ebe04643342a1ef5c,,
61,Generator: Inspect Brush Operation,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,1.0,Month,,Inspect,"1) Ensure you have operational approval before performing this task. 
2) Follow Lock-out and Tag-out SWP-003 before starting this task. 
3) Inspect the sparking near the brush by turning on the motor. 
4) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",EICT,,,,,,,,,,,,6a6e4e0180db4170af992ed5f7d6006e,,
62,Generator: Inspect Bearing Seal,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,1.0,Month,,Inspect,"1) Inspect for any sign of oil bleed from the grease in the large bearings. 
2)  If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,,,,,,,,,,,,6c434e12cb514351b5cbf3251aca67d3,,
63,Generator: Check Operations,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,1.0,Month,,Inspect,"1) Allow the engine to run for 20 minutes under load
2) Check the intake louvre has opened
3) If applicable, radiator shutter has actuated to the open position
4) If applicable, any generator room ventilation fans have been turned on and louvres opened.
5) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.

",Ind Mill,,,,,,,,,,,,5e38f7d20422464da1b12af7f7937ca0,,
64,Generator PM Data Record,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,1.0,Month,,Record,"1) Start record the following data, if available from the Genset, near the end of the 60-minute run:
- phase voltages
- frequency
- phase currents
- coolant temperature
- coolant pressure
- engine oil pressure
- fuel injection pressure
- exhaust gas backpressure
- exhaust gas temperature
- total running hours
",PT,,,,,,,,,,,,81444c7e130240539f1e43249087fec4,,
65,Generator: Drain Exhaust System,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,1.0,Month,,Service,"SAFETY WARNING: the condensate may be hot after a load test, take all PPE precautions to avoid skin burn.
1) If applicable, perform this activity 15 minutes after the engine cools down.
2) Slowly and gradually open the drain nipple and drain the condensate trap completely.
",PT,,,,,,,,,,,,ed3babcdf92a46ccb6af6d57dd70fc5f,,
66,Generator: Inspect Block Heater,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,1.0,Month,,Inspect,"1) Ensure you have operational approval before performing this task. 
2) Follow Lock-out and Tag-out before starting this task 
3) Tactile inspection of engine block heater by physically touch the heater hose to see if there is any heat in the cooling system. 
4) If the block heater has failed, initiate an immediate repair to repair the block heater and capture the repair information in a WMS work order with “Repair from Predictive” work type.",Ind Mill,,,,,,,,,,,,80e9a39ad7fc48d899529fc98aa0d549,,
67,Generator: Fix the Defects,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,1.0,Month,,Service,"During all of the above tests and inspections if corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,,,,,,,,,,,,0da1fd6a02854c89b552c36cec88dc54,,
68,Generator: PM Data Record,https://www.notion.so/CSA-C282-15-Section-241e3aad99204173b048e4a85dca6530,1.0,Month,,Record,"1) A permanent log of the maintenance work (including inspections and tests) shall be maintained in
accordance with the manufacturer’s manual of operating and maintenance instructions (see Clause
11.5.1). The permanent log shall be kept on-site and shall include at least the following:
a) the date on which the work was done;
b) a note of parts replaced;
c) a note of any unsatisfactory condition discovered, and the steps are taken to correct it; Committee
Member's Copy Only. Distribution Prohibited. CSA C282:19 Emergency electrical power supply for
buildings
d) the name of the person who performed the work; and
e) a note verifying that any switches or controls that were deactivated for safety purposes during
maintenance have been restored to their intended operating condition. Note: A permanent logbook
meeting all of the requirements of this Standard is available from CSA (C282 Logbook).",PT,,,,,,,,,,,,cc37715c47cf4e8e876a3ab1a584d681,,
69,Generator,,6.0,Month,,Inspect,,Contractor,,ASPOM decides,,,,,,,,,,7fd08ba68328457b8df3029429bb9d0c,,
70,Generator,,6.0,Month,,Inspect,,Contractor,,ASPOM decides,,,,,,,,,,b2c7ed8eb6ac4a4989b8346ca163ceb6,,
71,Generator,,6.0,Month,,Inspect,,Contractor,,ASPOM decides,,,,,,,,,,8d5f690bf54449599c26b649496c5751,,
72,Generator,,6.0,Month,,Service,,Contractor,,ASPOM decides,,,,,,,,,,c5ba5a8f83ed4ca0a4c0bda397ef75c8,,
73,Generator,,6.0,Month,,Test,,Contractor,,ASPOM decides,,,,,,,,,,41e81e37499b457dbc1b144ceac0109b,,
74,Generator,,6.0,Month,,Test,,Contractor,,ASPOM decides,,,,,,,,,,6b2822f1f38247a6a70b323d6de7472b,,
75,Generator,,6.0,Month,,Inspect,,Contractor,,ASPOM decides,,,,,,,,,,e7cee616796f40d58ccc2b689d8f3fac,,
76,Generator,,6.0,Month,,Service,,Contractor,,ASPOM decides,,,,,,,,,,37cff73261834cc48d5d998cf6b2f4e9,,
77,Generator,,6.0,Month,,Record,,Contractor,,,,,,,,,,,,e96cf790256247958d54a37940ecf5ec,,
78,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,9e50f1e8690b40cd8fd77473a7497cfe,,
79,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,8ef699ab50a743079055a1bfff9ea414,,
80,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,36cb1ab569364621b76c7df1d330bbc3,,
81,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,e667ea8947b541ed93f4a42be618b57b,,
82,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,68c50661243c4fbf89dbf0cac1e169ac,,
83,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,4e9919f9c0574d4a96185383342cbc5f,,
84,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,c5790fc16c984b65a1eba3190d8e3514,,
85,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,c891e84f9ec844499d733949e2454b01,,
86,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,e34b28bd565d42c5a2dd768983b3d857,,
87,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,29fd9624285a4eabb78beade586eb611,,
88,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,c5e4205349db44a0bfb8d1cbb744cbec,,
89,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,c143325c8f1e46018a497151c7d93c41,,
90,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,2126992ec6d645ceb803668981900938,,
91,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,137f3037d6b9495395142a572581ab5e,,
92,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,b987d2c7cbb9480f8d117b708109f77f,,
93,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,0364e33c95704ca593186a63c40581a2,,
94,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,3549180db40a4a22ba4a1a9bde3ee998,,
95,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,6885eed371e04458b1b95c142a8ef0cc,,
96,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,d9b10df9fdea4d39953d018d36ea58eb,,
97,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,ef50dc1edbdf49dead8341d12e2f3f0e,,
98,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,6304510d162840c0a2d7c052361db922,,
99,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,e3c975fd60564feeaee7c1560a7eefe8,,
100,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,e56e354b55ac4d5eb3a08907926b9ddf,,
101,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,44ab6725064a40628b02852d25d6a7f5,,
102,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,eebbfb4a29644c40bda374a64538e7ff,,
103,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,5ee68ba2892e4218b3b07b0603a67488,,
104,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,56a245f7f9a546c68e558ea722b37ab6,,
105,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,823ebeb44769485bbad404108c7d0793,,
106,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,79cc852442fa458c9d8a278851e6f776,,
107,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,78cf95e78c86415c8ebacc97a17e7c92,,
108,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,017cece6c79b4bbca1aadb209b17dcd1,,
109,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,351f0630f3b94d58abbc544d621edab2,,
110,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,30130af34cd34c0694d5ecbcd03d2b9d,,
111,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,c2ab59513bd349b086de40e59c03fd8b,,
112,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,ee57638ac0a04af08d60db8d51e853fb,,
113,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,b33f16ef12ae4f609f47ea29386351d2,,
114,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,634b4f8582c94b93b24a45da7285d286,,
115,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,2eeca920753d49dbb4a4b8b1f721492f,,
116,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,c4778a367c1b46eaa5ced22823d22f40,,
117,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,198b9b5a839b4133a36e3f21999efa3c,,
118,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,68e8beb407024aaa8b21d1ee8b2222fb,,
119,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,84b187e8ecd14847a839d281b9a4688e,,
120,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,6ede113043d44d368714ab0c4caa471b,,
121,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,2805a5321a2f429f96e4596bf72543e0,,
122,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,d0faf0f8ec994857934e7f2e70e88a7e,,
123,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,a4bfc13adfa4402c8f577c2bbbcf01a6,,
124,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,22e52e0332604b0ba93052b19d57a9cc,,
125,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,90993dbf24594e6595b2fd0869ff6f38,,
126,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,907e1a32d0324f1cb9b43b8930545c8a,,
127,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,cd71610428484ec59e7d8064e6394239,,
128,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,b3db897213e84d2b9829efc28c94c15e,,
129,Generator,,1.0,Year,,,,Contractor,,ASPOM decides,,,,,,,,,,f9a53a87998841e2860ce88bafe92b8b,,
130,Generator,,1.0,Year,,,,Contractor,,,,,,,,,,,,8c4f64f0ec824a31a4d5b12a3c062a91,,
131,Web Sling: Inspection Frequency Verification,,1.0,Year,,Calibrate,"In addition to the inspection required at every 12 months, the plant should determine if the frequency of the inspection needs to be increased on the basis of, 
- frequency of sling use
-the severity of service condition
-nature of lifts being made
-experience gained on the service life of slings used in similar circumstances",APSOM,,No,,,,,,,,,,1d42d9aef2ee470f8144e5a2d5ec73a0,,
132,Web Sling: Inspection For Safe Usage,"https://www.notion.so/AMSE-B30-9-2018-Section-9-5-9-5-154709a8cf0848ae8c16a19844f9424b, https://www.notion.so/OSHA-1910-184-Section-1910-184-d-ab378a867d1c432a82a6a393ab9c5fb9",1.0,,,Inspect," Web-sling should be removed from service and be discarded if the following conditions are found;
- Missing or illegible sling identification
- Acid or caustic burns
- Melting or charring of any part of the sling
- Holes, tears, cuts, or snags
- Broken or worn stitching in load-bearing splices
- Excessive wear or abrasion
- Knots in any part of the sling
- Discoloration and brittle or stiff areas on any part of the sling, which may indicate chemical or UV damage
- Fittings that are pitted, corroded, cracked, bent, twisted, gouged or broken
- For hooks, removal criteria as stated in ASME B30.10
- For rigging hardware, removal criteria as stated in ASME B30.26
- Other conditions, including visible damage, that cause doubt to the continued use of the sling 
[Note: The site should not perform any repair or fix for the damaged web-sling.] ",Contractor,,ASPOM decides,,,,,,,,,,e3ce8e366b0f48c7ac99ebd0eba55e13,,
133,Web Sling: Alloy Steel Chain Inspection,,1.0,Year,,Inspect,"A thorough periodic inspection of alloy steel chain slings in use shall be made on a regular basis, to be determined on the basis of :
(A) frequency of sling use; 
(B) the severity of service conditions; 
(C) nature of lifts being made; and 
(D) experience gained on the service life of slings used in similar circumstances. Such inspections shall in no event be at intervals greater than once every 12 months.",Ind Mill,,No,,,,,,,,,,facb71c1c26942299d7e72af594a44fb,,
134,,,,,,,,,,,,,,,,,,,,24379a0de32e4f93bc2fe95dfa323367,,
135,Chain Sling: Inspection Frequency Verification,https://www.notion.so/OSHA-1910-184-Section-1910-184-e-3-i-41be326b2a734ca4abc7497f339890be,1.0,Year,,Inspect,"In addition to the inspection required at every 12 months, the plant should determine if the frequency of the inspection needs to be increased on the basis of, 
- frequency of sling use
-the severity of service condition
-nature of lifts being made
-experience gained on the service life of slings used in similar circumstances",PT,,,,,,,,,,,,89a8cbfff9b643b380228c05f93fb152,,
136,Chain Sling: Inspection For Safe Usage,https://www.notion.so/OSHA-1910-184-Section-1910-184-d-ab378a867d1c432a82a6a393ab9c5fb9,1.0,Year,,Inspect,"Inspect Chain Sling for below:
-Unreadable or missing operating control labels (Contact chain sling manufacturer for replacements of missing identification tags and nameplates.). 
- Check for Structural deformation
- Cracks in welds or structural members
- Check for Excessive wear
- Loose or missing parts, tags, safety guards, fasteners, stops, and/or housings.
- Out of adjustment conditions that interfere with the normal operation and functionality of all mechanisms including automatic hold and release components.
",Contractor,,,,,,,,,,,,242e96dc5d92460f9e02c9dd79189aa3,,
137,Wire Rope Sling: Inspection Frequency Verification,https://www.notion.so/OSHA-1910-184-Section-1910-184-e-3-i-I-e0e3d7703893420ebaee5704dbf49d3b,1.0,Year,,,"In addition to the inspection required at every 12 months, the plant should determine if the frequency of the inspection needs to be increased on the basis of, 
- frequency of sling use
-the severity of service condition
-nature of lifts being made
-experience gained on the service life of slings used in similar circumstances",APSOM,,No,,,,,,,,,,ed7074eef32440b79035f8d429f34b2a,,
138,Wire Rope Sling: Inspection For Safe Usage,https://www.notion.so/Section-ed4c1d5af3bf423b92c3935fd9e38323,1.0,Year,,Inspect,"Wire Rope sling should be removed from service and be discarded if the following conditions are found:
1. Missing or illegible sling identification. If the tag is missing or illegible, the inspector should remove the sling from service and send it to the manufacturer for current or updated certification, tagging, and testing.
2. Broken Wires: For strand-laid grommets and single-part slings, ten randomly distributed broken wires in one rope lay, or five broken wires in one strand in one rope lay. For cable laid, cable laid grommets and multi-part slings, use the following:
How to Inspect Wire Rope Slings According to ASME B30.9 Standards: Broken Wires Chart
3. Distortion: Kinking, crushing, birdcaging or other damage which distorts the rope structure. The main thing to look for is wires or strands that are pushed out of their original positions in the rope.
4. Heat Damage: Any metallic discoloration, fusing of wires or loss of internal lubricant caused by exposure to heat.
5. Damaged End Attachments: Cracked, bent or broken end fittings caused by abuse, wear or damage.
6. Bent Hooks: No more than 5 percent over the normal throat openings, measured at the narrowest point from the plane of the unbent hook (see ASME B30.10 Hooks).
7. Corrosion: Severe corrosion of the rope or end attachments which has caused pitting or binding of wires should be cause for replacing the sling. Light surface rust does not substantially affect strength of a sling.
8. Pulled Eye Splices: Any evidence that eye splices have slipped, tucked strands have moved or pressed sleeves show serious damage may be sufficient cause to reject a sling.
9. Unbalance: A very common cause of damage is the kink which results from pulling through a loop while using a sling, thus causing wires and strands to be deformed and pushed out of their original position. This unbalances the sling, reducing its strength.
10. Kinks: Are tightened loops with permanent strand distortion that result from improper handling when a rope is being installed or while in service. A kink happens when a loop is permitted to form and then is pulled down tight, causing permanent distortion of the strands. The damage is irreparable and the sling must be taken out of service.
11. Doglegs: Are permanent bends caused by improper use or handling. If the dogleg is severe, the sling must be removed from service. If the dogleg is minor, (exhibiting no strand distortion) and cannot be observed when the sling is under tension, the area of the minor dogleg should be marked for observation and the sling can remain in service.",Contractor,,ASPOM decides,,,,,,,,,,c0a06449171644d7922bd2415022de12,,
139,Chain Sling (alloy steel chain sling): Inspection Frequency Verification,,1.0,Year,,Inspect,"In addition to the inspection of complete wire rope sling, a thorough periodic inspection of alloy steel chain slings in use shall be made on a regular basis, to be determined on the basis of 
(A) frequency of sling use; 
(B) the severity of service conditions; 
(C) nature of lifts being made; and 
(D) experience gained on the service life of slings used in similar circumstances. Such inspections shall in no event be at intervals greater than once every 12 months.
",APSOM,,ASPOM decides,,,,,,,,,,776ed11c315048f5aa7b8d6476abd37e,,
140,Wire Rope Sling (alloy steel chain sling): Inspection Frequency Verification,,1.0,Year,,Inspect,"In addition to the inspection of complete wire rope sling, a thorough periodic inspection of alloy steel chain slings in use shall be made on a regular basis, to be determined on the basis of 
(A) frequency of sling use; 
(B) the severity of service conditions; 
(C) nature of lifts being made; and 
(D) experience gained on the service life of slings used in similar circumstances. Such inspections shall in no event be at intervals greater than once every 12 months.",APSOM,,ASPOM decides,,,,,,,,,,1f35d2da57a24d22937e6d333939323d,,
141,Wire Mesh Sling: Inspection Frequency Verification,,1.0,Year,,,"In addition to the inspection required at every 12 months, the plant should determine if the frequency of the inspection needs to be increased on the basis of, 
- frequency of sling use
-the severity of service condition
-nature of lifts being made
-experience gained on the service life of slings used in similar circumstances",APSOM,,No,,,,,,,,,,35d3a871cdcf4c0fb43a118abbc5bfe7,,
